0.111837,192.168.50.4,224.0.0.251,5353,5353,90
0.371164,66.22.210.44,192.168.50.90,50020,61938,60
1.373029,66.22.210.44,192.168.50.90,50020,61938,60
1.406245,192.168.50.90,192.168.50.1,53106,53,58
1.410358,192.168.50.1,192.168.50.90,53,53106,178
1.44954,192.168.50.90,192.168.50.1,55554,53,58
1.449947,192.168.50.90,192.168.50.1,59573,53,58
1.451219,192.168.50.1,192.168.50.90,53,55554,181
1.456349,192.168.50.1,192.168.50.90,53,59573,222
2.372072,66.22.210.44,192.168.50.90,50020,61938,80
2.920242,192.168.50.90,66.22.210.44,61938,50020,36
3.329601,192.168.50.90,66.22.210.44,61938,50020,16
3.342906,192.168.50.90,66.22.210.44,61938,50020,68
3.371366,66.22.210.44,192.168.50.90,50020,61938,60
3.40186,66.22.210.44,192.168.50.90,50020,61938,16
4.370892,66.22.210.44,192.168.50.90,50020,61938,60
5.370889,66.22.210.44,192.168.50.90,50020,61938,80
6.087736,192.168.50.90,192.168.50.1,59403,53,45
6.088143,192.168.50.90,192.168.50.1,51836,53,45
6.093346,192.168.50.1,192.168.50.90,53,59403,255
6.094787,192.168.50.1,192.168.50.90,53,51836,311
6.372267,66.22.210.44,192.168.50.90,50020,61938,60
7.380198,66.22.210.44,192.168.50.90,50020,61938,60
8.329841,192.168.50.90,66.22.210.44,61938,50020,16
8.373766,66.22.210.44,192.168.50.90,50020,61938,60
8.401387,66.22.210.44,192.168.50.90,50020,61938,16
9.371862,66.22.210.44,192.168.50.90,50020,61938,60
9.41726,192.168.50.90,66.22.210.44,61938,50020,36
9.712513,192.168.50.90,192.168.50.1,53106,53,60
9.716244,192.168.50.1,192.168.50.90,53,53106,124
10.37222,66.22.210.44,192.168.50.90,50020,61938,60
10.837432,192.168.50.90,66.22.210.44,61938,50020,68
11.37255,66.22.210.44,192.168.50.90,50020,61938,60
11.918726,192.168.50.90,66.22.210.44,61938,50020,36
12.372919,66.22.210.44,192.168.50.90,50020,61938,80
13.331414,192.168.50.90,66.22.210.44,61938,50020,16
13.371816,66.22.210.44,192.168.50.90,50020,61938,60
13.404289,66.22.210.44,192.168.50.90,50020,61938,16
14.37174,66.22.210.44,192.168.50.90,50020,61938,60
15.372432,66.22.210.44,192.168.50.90,50020,61938,60
15.615078,192.168.50.90,66.22.210.44,61938,50020,68
16.371633,66.22.210.44,192.168.50.90,50020,61938,60
17.371797,66.22.210.44,192.168.50.90,50020,61938,60
18.330877,192.168.50.90,66.22.210.44,61938,50020,16
18.371689,66.22.210.44,192.168.50.90,50020,61938,60
18.402234,66.22.210.44,192.168.50.90,50020,61938,16
18.421702,192.168.50.90,66.22.210.44,61938,50020,36
19.372056,66.22.210.44,192.168.50.90,50020,61938,80
19.702816,192.168.50.90,66.22.210.44,61938,50020,68
20.111086,192.168.50.90,192.168.50.1,54910,53,44
20.111354,192.168.50.90,192.168.50.1,54004,53,44
20.121477,192.168.50.1,192.168.50.90,53,54910,140
20.122364,192.168.50.1,192.168.50.90,53,54004,127
20.372381,66.22.210.44,192.168.50.90,50020,61938,60
20.561894,192.168.50.90,192.168.50.1,57230,53,50
20.562225,192.168.50.90,192.168.50.1,58385,53,50
20.562485,192.168.50.90,192.168.50.1,54139,53,39
20.562757,192.168.50.90,192.168.50.1,55638,53,39
20.563002,192.168.50.90,192.168.50.1,55477,53,40
20.563217,192.168.50.90,192.168.50.1,56007,53,40
20.565494,192.168.50.1,192.168.50.90,53,55477,56
20.565934,192.168.50.1,192.168.50.90,53,57230,66
20.566342,192.168.50.1,192.168.50.90,53,58385,110
20.567536,192.168.50.1,192.168.50.90,53,55638,123
20.568339,192.168.50.1,192.168.50.90,53,54139,103
20.568909,192.168.50.1,192.168.50.90,53,56007,65
20.569216,192.168.50.90,142.250.204.36,65315,443,1258
20.569475,192.168.50.90,142.250.204.36,65315,443,1258
20.608226,192.168.50.90,192.168.50.1,56537,53,34
20.608719,192.168.50.90,192.168.50.1,52630,53,34
20.612745,192.168.50.1,192.168.50.90,53,56537,98
20.613525,192.168.50.1,192.168.50.90,53,52630,119
20.623913,192.168.50.90,192.168.50.1,60087,53,41
20.624243,192.168.50.90,192.168.50.1,60779,53,41
20.62818,192.168.50.1,192.168.50.90,53,60087,57
20.628721,192.168.50.1,192.168.50.90,53,60779,101
20.647694,192.168.50.90,192.168.50.1,55162,53,50
20.648198,192.168.50.90,192.168.50.1,58636,53,50
20.663205,192.168.50.1,192.168.50.90,53,55162,66
20.663631,192.168.50.1,192.168.50.90,53,58636,110
20.777939,192.168.50.90,192.168.50.1,62517,53,40
20.779222,192.168.50.90,192.168.50.1,65499,53,40
20.78189,192.168.50.1,192.168.50.90,53,65499,124
20.788362,192.168.50.1,192.168.50.90,53,62517,104
20.869977,192.168.50.90,142.250.204.36,65315,443,1258
20.951344,192.168.50.90,192.168.50.1,57748,53,40
20.951858,192.168.50.90,192.168.50.1,49671,53,40
20.952735,192.168.50.1,192.168.50.90,53,57748,56
20.960152,192.168.50.1,192.168.50.90,53,49671,65
20.988503,192.168.50.90,192.168.50.1,65279,53,49
20.988999,192.168.50.90,192.168.50.1,62475,53,49
20.992611,192.168.50.1,192.168.50.90,53,62475,204
20.994533,192.168.50.1,192.168.50.90,53,65279,245
21.022239,192.168.50.90,192.168.50.1,53698,53,41
21.023203,192.168.50.90,192.168.50.1,61514,53,41
21.024068,192.168.50.1,192.168.50.90,53,53698,57
21.026234,192.168.50.1,192.168.50.90,53,61514,101
21.064818,192.168.50.90,192.168.50.1,56520,53,57
21.065281,192.168.50.90,192.168.50.1,60903,53,57
21.072248,192.168.50.1,192.168.50.90,53,56520,121
21.072969,192.168.50.1,192.168.50.90,53,60903,117
21.073379,192.168.50.90,142.250.196.202,52376,443,1258
21.073679,192.168.50.90,142.250.196.202,52376,443,1258
21.101523,192.168.50.90,192.168.50.1,60156,53,44
21.101795,192.168.50.90,192.168.50.1,56446,53,44
21.106725,192.168.50.1,192.168.50.90,53,60156,172
21.107294,192.168.50.1,192.168.50.90,53,56446,129
21.119496,192.168.50.90,142.250.204.36,60094,443,1258
21.119831,192.168.50.90,142.250.204.36,60094,443,1258
21.128374,192.168.50.90,142.250.198.67,57151,443,1258
21.128692,192.168.50.90,142.250.198.67,57151,443,1258
21.148529,192.168.50.90,192.168.50.1,60046,53,43
21.149047,192.168.50.90,192.168.50.1,51506,53,43
21.152395,192.168.50.1,192.168.50.90,53,60046,59
21.153303,192.168.50.1,192.168.50.90,53,51506,68
21.153853,192.168.50.90,142.250.77.3,53504,443,1258
21.154309,192.168.50.90,142.250.77.3,53504,443,1258
21.371769,66.22.210.44,192.168.50.90,50020,61938,60
21.375297,192.168.50.90,142.250.196.202,52376,443,1258
21.424769,192.168.50.90,142.250.204.36,60094,443,1258
21.438537,192.168.50.90,142.250.198.67,57151,443,1258
21.455205,192.168.50.90,142.250.77.3,53504,443,1258
21.470775,192.168.50.90,142.250.204.36,65315,443,1258
21.663861,192.168.50.90,192.168.50.1,55127,53,56
21.664134,192.168.50.90,192.168.50.1,55456,53,56
21.668185,192.168.50.1,192.168.50.90,53,55127,163
21.669191,192.168.50.1,192.168.50.90,53,55456,182
21.977835,192.168.50.90,142.250.196.202,52376,443,1258
22.040585,192.168.50.90,142.250.204.36,60094,443,1258
22.042574,192.168.50.90,142.250.198.67,57151,443,1258
22.069087,192.168.50.90,142.250.77.3,53504,443,1258
22.371864,66.22.210.44,192.168.50.90,50020,61938,80
22.631972,192.168.50.90,192.168.50.1,53106,53,50
22.633005,192.168.50.1,192.168.50.90,53,53106,66
22.684399,192.168.50.90,142.250.204.36,65315,443,1258
23.191394,192.168.50.90,142.250.196.202,52376,443,1258
23.253902,192.168.50.90,142.250.204.36,60094,443,1258
23.25434,192.168.50.90,142.250.198.67,57151,443,1258
23.285729,192.168.50.90,142.250.77.3,53504,443,1258
23.33146,192.168.50.90,66.22.210.44,61938,50020,16
23.371882,66.22.210.44,192.168.50.90,50020,61938,60
23.407086,66.22.210.44,192.168.50.90,50020,61938,16
23.688855,192.168.50.90,40.81.252.176,52919,3544,69
23.78487,40.81.252.176,192.168.50.90,3544,52919,117
23.975743,192.168.50.90,192.168.50.1,63605,53,61
23.975983,192.168.50.90,192.168.50.1,58017,53,61
23.98199,192.168.50.1,192.168.50.90,53,63605,141
23.982682,192.168.50.1,192.168.50.90,53,58017,118
23.983074,192.168.50.90,192.168.50.1,49329,53,36
23.983457,192.168.50.90,192.168.50.1,63680,53,36
23.985714,192.168.50.1,192.168.50.90,53,49329,52
23.986267,192.168.50.1,192.168.50.90,53,63680,120
23.989882,192.168.50.90,192.168.50.1,50519,53,49
23.990185,192.168.50.90,192.168.50.1,65052,53,49
23.990421,192.168.50.90,192.168.50.1,55625,53,36
23.990648,192.168.50.90,192.168.50.1,54878,53,36
23.993582,192.168.50.1,192.168.50.90,53,50519,84
23.994527,192.168.50.1,192.168.50.90,53,65052,118
23.995611,192.168.50.1,192.168.50.90,53,55625,68
23.996613,192.168.50.1,192.168.50.90,53,54878,96
24.079583,192.168.50.90,66.22.210.44,61938,50020,36
24.373167,66.22.210.44,192.168.50.90,50020,61938,60
24.47222,192.168.50.90,192.168.50.1,52894,53,53
24.47271,192.168.50.90,192.168.50.1,57639,53,53
24.47611,192.168.50.1,192.168.50.90,53,52894,69
24.476796,192.168.50.1,192.168.50.90,53,57639,110
24.480017,192.168.50.90,192.168.50.1,55371,53,49
24.480433,192.168.50.90,192.168.50.1,58732,53,49
24.480861,192.168.50.90,192.168.50.1,60343,53,55
24.481235,192.168.50.90,192.168.50.1,64093,53,55
24.496027,192.168.50.1,192.168.50.90,53,55371,113
