time,source_IP,destination_IP,source_Port,destination_Port,package_length
0.002993,35.215.187.112,192.168.212.37,50001,50697,60
0.011969,192.168.212.37,39.1.101.199,3659,3659,69
0.012964,39.1.101.199,192.168.212.37,3659,3659,69
0.030917,192.168.212.37,39.1.101.199,3659,3659,69
0.034911,39.1.101.199,192.168.212.37,3659,3659,69
0.048868,192.168.212.37,39.1.101.199,3659,3659,69
0.055848,39.1.101.199,192.168.212.37,3659,3659,69
0.067817,192.168.212.37,39.1.101.199,3659,3659,69
0.075796,39.1.101.199,192.168.212.37,3659,3659,69
0.085769,192.168.212.37,39.1.101.199,3659,3659,69
0.097736,39.1.101.199,192.168.212.37,3659,3659,69
0.103721,192.168.212.37,39.1.101.199,3659,3659,69
0.11868,39.1.101.199,192.168.212.37,3659,3659,69
0.121674,192.168.212.37,39.1.101.199,3659,3659,69
0.139132,39.1.101.199,192.168.212.37,3659,3659,69
0.140129,192.168.212.37,39.1.101.199,3659,3659,69
0.158722,192.168.212.37,39.1.101.199,3659,3659,69
0.158722,39.1.101.199,192.168.212.37,3659,3659,69
0.176675,192.168.212.37,39.1.101.199,3659,3659,69
0.180664,39.1.101.199,192.168.212.37,3659,3659,69
0.194628,192.168.212.37,39.1.101.199,3659,3659,69
0.201608,39.1.101.199,192.168.212.37,3659,3659,69
0.21258,192.168.212.37,39.1.101.199,3659,3659,69
0.224546,39.1.101.199,192.168.212.37,3659,3659,69
0.230532,192.168.212.37,39.1.101.199,3659,3659,69
0.239017,39.1.101.199,192.168.212.37,3659,3659,64
0.243007,39.1.101.199,192.168.212.37,3659,3659,69
0.248993,192.168.212.37,39.1.101.199,3659,3659,69
0.263952,39.1.101.199,192.168.212.37,3659,3659,69
0.266945,192.168.212.37,39.1.101.199,3659,3659,69
0.284896,39.1.101.199,192.168.212.37,3659,3659,69
0.285894,192.168.212.37,39.1.101.199,3659,3659,69
0.303845,192.168.212.37,39.1.101.199,3659,3659,69
0.304841,39.1.101.199,192.168.212.37,3659,3659,69
0.321797,192.168.212.37,39.1.101.199,3659,3659,69
0.325791,39.1.101.199,192.168.212.37,3659,3659,69
0.339748,192.168.212.37,39.1.101.199,3659,3659,69
0.34773,39.1.101.199,192.168.212.37,3659,3659,69
0.358236,192.168.212.37,39.1.101.199,3659,3659,69
0.36821,39.1.101.199,192.168.212.37,3659,3659,69
0.37631,192.168.212.37,39.1.101.199,3659,3659,69
0.388281,39.1.101.199,192.168.212.37,3659,3659,69
0.394261,192.168.212.37,39.1.101.199,3659,3659,69
0.410219,39.1.101.199,192.168.212.37,3659,3659,69
0.412213,192.168.212.37,39.1.101.199,3659,3659,69
0.43075,39.1.101.199,192.168.212.37,3659,3659,69
0.43075,192.168.212.37,39.1.101.199,3659,3659,69
0.450156,192.168.212.37,39.1.101.199,3659,3659,69
0.451152,39.1.101.199,192.168.212.37,3659,3659,69
0.472094,39.1.101.199,192.168.212.37,3659,3659,69
0.473094,192.168.212.37,39.1.101.199,3659,3659,69
0.494039,39.1.101.199,192.168.212.37,3659,3659,69
0.495035,192.168.212.37,39.1.101.199,3659,3659,69
0.513983,39.1.101.199,192.168.212.37,3659,3659,69
0.517973,192.168.212.37,39.1.101.199,3659,3659,69
0.534927,39.1.101.199,192.168.212.37,3659,3659,69
0.54091,192.168.212.37,39.1.101.199,3659,3659,69
0.54091,39.1.101.199,192.168.212.37,3659,3659,64
0.555531,39.1.101.199,192.168.212.37,3659,3659,69
0.562514,192.168.212.37,39.1.101.199,3659,3659,69
0.576474,39.1.101.199,192.168.212.37,3659,3659,69
0.585451,192.168.212.37,39.1.101.199,3659,3659,69
0.598418,39.1.101.199,192.168.212.37,3659,3659,69
0.607394,192.168.212.37,39.1.101.199,3659,3659,69
0.619363,39.1.101.199,192.168.212.37,3659,3659,69
0.624348,39.1.101.199,192.168.212.37,3659,3659,53
0.624348,192.168.212.37,39.1.101.199,3659,3659,34
0.62734,192.168.212.37,39.1.101.199,3659,3659,53
0.63033,192.168.212.37,39.1.101.199,3659,3659,69
0.639309,39.1.101.199,192.168.212.37,3659,3659,69
0.652273,192.168.212.37,39.1.101.199,3659,3659,69
0.659255,39.1.101.199,192.168.212.37,3659,3659,69
0.671227,192.168.212.37,39.1.101.199,3659,3659,69
0.680204,39.1.101.199,192.168.212.37,3659,3659,69
0.690177,192.168.212.37,39.1.101.199,3659,3659,69
0.701146,39.1.101.199,192.168.212.37,3659,3659,69
0.709141,192.168.212.37,39.1.101.199,3659,3659,69
0.72209,39.1.101.199,192.168.212.37,3659,3659,69
0.727078,192.168.212.37,39.1.101.199,3659,3659,69
0.738048,39.1.101.199,192.168.212.37,3659,3659,34
0.743036,39.1.101.199,192.168.212.37,3659,3659,69
0.743036,192.168.212.37,39.1.101.199,3659,3659,37
0.746026,192.168.212.37,39.1.101.199,3659,3659,69
0.763568,39.1.101.199,192.168.212.37,3659,3659,69
0.764564,192.168.212.37,39.1.101.199,3659,3659,69
0.776537,39.1.101.199,192.168.212.37,3659,3659,37
0.782517,192.168.212.37,39.1.101.199,3659,3659,69
0.78451,39.1.101.199,192.168.212.37,3659,3659,69
0.800469,192.168.212.37,39.1.101.199,3659,3659,69
0.804458,39.1.101.199,192.168.212.37,3659,3659,69
0.819418,192.168.212.37,39.1.101.199,3659,3659,69
0.827397,39.1.101.199,192.168.212.37,3659,3659,69
0.837371,192.168.212.37,39.1.101.199,3659,3659,69
0.848343,39.1.101.199,192.168.212.37,3659,3659,64
0.848343,39.1.101.199,192.168.212.37,3659,3659,69
0.849337,192.168.212.37,39.1.101.199,3659,3659,34
0.85632,192.168.212.37,39.1.101.199,3659,3659,69
0.867291,39.1.101.199,192.168.212.37,3659,3659,69
0.875268,192.168.212.37,39.1.101.199,3659,3659,69
0.892222,39.1.101.199,192.168.212.37,3659,3659,69
0.894226,192.168.212.37,39.1.101.199,3659,3659,69
0.910176,39.1.101.199,192.168.212.37,3659,3659,69
0.913168,192.168.212.37,39.1.101.199,3659,3659,69
0.930123,39.1.101.199,192.168.212.37,3659,3659,69
0.93112,192.168.212.37,39.1.101.199,3659,3659,69
0.950069,192.168.212.37,39.1.101.199,3659,3659,69
0.951066,39.1.101.199,192.168.212.37,3659,3659,69
0.968576,192.168.212.37,39.1.101.199,3659,3659,69
0.971573,39.1.101.199,192.168.212.37,3659,3659,69
0.986527,192.168.212.37,39.1.101.199,3659,3659,69
0.992511,39.1.101.199,192.168.212.37,3659,3659,69
1.002485,35.215.187.112,192.168.212.37,50001,50697,80
1.004482,192.168.212.37,39.1.101.199,3659,3659,69
1.013456,39.1.101.199,192.168.212.37,3659,3659,69
1.022432,192.168.212.37,39.1.101.199,3659,3659,69
1.0344,39.1.101.199,192.168.212.37,3659,3659,69
1.041382,192.168.212.37,39.1.101.199,3659,3659,69
1.055343,39.1.101.199,192.168.212.37,3659,3659,69
1.059334,192.168.212.37,39.1.101.199,3659,3659,69
