timeStamp,srcip,dstip,srcport,dstport,protocol,duration,srcbytes,dstbytes,srceff,dsteff,srcpkts,dstpkts,srcseq,dstseq
1.128421,192.168.1.109,192.168.1.1,60586,53,0,0.004729,92,215,155635.440897,363713.258617,1,1,0,0
1.134171,192.168.1.109,52.168.117.171,63113,443,1,1.179079,6718,5721,45581.339333,38816.737471,10,10,3529885786,3127811481
1.134171,192.168.1.109,13.89.178.27,63110,443,1,0.642505,2711,426,33755.379336,5304.238878,5,5,3857971537,533180924
3.023255,127.0.0.1,127.0.0.1,49688,49687,1,0.007526,135,132,143502.524581,140313.579591,3,3,216292050,2351875447
3.026746,127.0.0.1,127.0.0.1,49683,49684,1,0.005056,135,132,213607.594937,208860.759494,3,3,429076761,3441581748
3.154628,192.168.1.109,162.159.137.234,59471,8443,1,0.147923,181,170,9788.876645,9193.97254,2,2,2186533428,1816641908
4.605159,192.168.1.109,64.233.188.188,58264,5228,1,0.007241,55,66,60765.087695,72918.105234,1,1,438167023,1036168051
9.372406,26.77.150.215,224.0.0.251,5353,5353,0,2.764544,1013,0,2931.405686,0.0,6,0,0,0
9.38294,192.168.153.1,224.0.0.251,5353,5353,0,1.979744,957,0,3867.166664,0.0,6,0,0,0
9.393516,192.168.190.1,224.0.0.251,5353,5353,0,2.079731,957,0,3681.245315,0.0,6,0,0,0
12.138455,192.168.1.109,192.168.1.1,62602,53,0,0.225257,71,151,2521.564258,5362.763421,1,1,0,0
12.139454,192.168.1.109,192.168.1.1,59260,53,0,0.331828,71,120,1711.730173,2893.065082,1,1,0,0
0.818318,162.159.133.234,192.168.1.109,443,53560,1,17.819853,1552,378,696.750978,169.69837,11,7,1924246652,4252861851
12.578418,192.168.1.109,162.159.138.232,65506,443,0,2.767896,6238,3592,18029.579146,10381.892961,12,10,0,0
30.016776,192.168.1.109,192.168.1.1,55554,53,0,0.04497,78,158,13875.917278,28107.627307,1,1,0,0
30.040104,192.168.1.109,192.168.1.1,53120,53,0,0.137005,78,202,4554.5783,11795.189957,1,1,0,0
46.932292,26.198.224.132,239.255.255.250,56513,1900,0,3.020323,848,0,2246.117385,0.0,4,0,0,0
50.649335,26.198.224.132,224.0.0.251,5353,5353,0,0.816463,1098,0,10758.601431,0.0,6,0,0,0
64.676221,26.54.54.12,239.255.255.250,56401,1900,0,3.045068,848,0,2227.864862,0.0,4,0,0,0
30.403836,192.168.1.109,162.159.134.233,59252,443,0,49.510077,10556,560572,1705.672968,90579.05525,98,458,0,0
5.481402,192.168.1.109,36.224.59.148,49875,49674,1,77.795897,4538,1602,466.657001,164.738765,23,16,2555654963,1324671543
22.437495,192.168.1.109,36.225.169.7,49874,57104,1,59.423748,3362,568,452.613659,76.467745,15,9,1301541791,2290001940
22.832956,192.168.1.109,224.0.0.251,5353,5353,0,58.474479,957,0,130.928913,0.0,6,0,0,0
83.06085,192.168.1.109,52.123.160.67,60588,443,1,0.874895,158,93,1444.744798,850.387761,2,1,4004261001,1583202304
90.475906,192.168.1.109,192.168.1.1,60245,53,0,0.222549,94,158,3379.031135,5679.648078,1,1,0,0
98.466893,26.77.150.215,26.255.255.255,138,138,0,0.0,243,0,0.0,0.0,1,0,0,0
98.474397,192.168.153.1,192.168.153.255,138,138,0,0.0,243,0,0.0,0.0,1,0,0,0
98.591371,192.168.190.1,192.168.190.255,138,138,0,0.0,243,0,0.0,0.0,1,0,0,0
102.680205,26.114.232.32,224.0.0.251,5353,5353,0,0.797153,1518,0,15234.214762,0.0,7,0,0,0
102.940192,192.168.1.109,45.121.184.101,49847,27020,1,0.271399,113,60,3330.889207,1768.613738,1,1,145355153,1313462043
106.624464,26.77.150.215,26.198.224.132,63117,7680,1,0.073697,450,408,48848.664125,44289.455473,6,5,216034172,925414250
121.080437,192.168.1.109,40.81.252.176,52169,3544,0,1.382888,103,151,595.854473,873.534227,1,1,0,0
130.243614,26.77.150.215,224.0.0.251,5353,5353,0,1.121516,1013,0,7225.933469,0.0,6,0,0,0
130.25854,192.168.153.1,224.0.0.251,5353,5353,0,1.238491,957,0,6181.716298,0.0,6,0,0,0
130.284273,192.168.190.1,224.0.0.251,5353,5353,0,1.336642,957,0,5727.786498,0.0,6,0,0,0
166.938948,26.198.224.132,239.255.255.250,59330,1900,0,3.01503,848,0,2250.06053,0.0,4,0,0,0
171.431914,26.198.224.132,224.0.0.251,5353,5353,0,0.81758,1098,0,10743.902737,0.0,6,0,0,0
184.69147,26.54.54.12,239.255.255.250,55619,1900,0,3.011796,848,0,2252.476595,0.0,4,0,0,0
187.251756,192.168.1.109,148.113.190.78,49857,17301,1,2.402319,144,90,479.536648,299.710405,2,1,2535745301,309507204
115.773478,192.168.1.109,162.159.137.234,59471,8443,1,103.958966,578,991,44.479088,76.260859,8,8,2186533501,1816641964
223.472337,26.114.232.32,224.0.0.251,5353,5353,0,0.794344,1518,0,15288.086773,0.0,7,0,0,0
